Age,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Injury,Days,Games missed,Position_DF,Position_FW,Position_MF,PreferredFoot_ Both,PreferredFoot_ Left,PreferredFoot_ Right
20,8,30,9,1142,6.35,5,0,5,5,0,0,2,1,6.1,6.1,1.2,7.4,33,26,88,0.405,0.0,0.405,0.405,0.405,0.495,0.095,0.5900000000000001,0.495,0.5900000000000001,0,0.0,0.0,0,1,0,0,0,1
21,8,18,5,513,2.85,2,1,3,2,0,0,0,0,6.681318681318681,6.2805860805860805,3.2904761904761908,9.567399267399267,6,6,29,0.215,0.105,0.32,0.215,0.32,0.3586141636141636,0.16087301587301586,0.5145054945054945,0.34935286935286936,0.5053052503052503,0,0.0,0.0,0,1,0,0,0,1
21,10,18,5,513,2.85,2,1,3,2,0,0,0,0,6.681318681318681,6.2805860805860805,3.2904761904761908,9.567399267399267,6,6,29,0.215,0.105,0.32,0.215,0.32,0.3586141636141636,0.16087301587301586,0.5145054945054945,0.34935286935286936,0.5053052503052503,0,0.0,0.0,0,1,0,0,0,1
22,3,22,9,895,5.0,5,1,6,5,0,0,3,0,9.28131868131868,8.880586080586081,4.690476190476191,13.567399267399267,27,21,66,0.27,0.055,0.325,0.27,0.325,0.4036141636141636,0.20087301587301587,0.6045054945054944,0.39435286935286934,0.5953052503052503,0,0.0,0.0,0,1,0,0,0,1
22,5,22,9,895,5.0,5,1,6,5,0,0,3,0,9.28131868131868,8.880586080586081,4.690476190476191,13.567399267399267,27,21,66,0.27,0.055,0.325,0.27,0.325,0.4036141636141636,0.20087301587301587,0.6045054945054944,0.39435286935286934,0.5953052503052503,0,0.0,0.0,0,1,0,0,0,1
23,2,30,9,1089,12.1,4,1,5,4,0,0,3,0,8.2,8.2,1.3,9.5,32,15,82,0.33,0.08,0.41,0.33,0.41,0.68,0.11,0.78,0.68,0.78,1,42.0,9.0,0,1,0,0,0,1
24,1,13,9,794,8.8,5,0,5,5,0,0,2,0,3.1,3.1,0.2,3.3,14,11,47,0.57,0.0,0.57,0.57,0.57,0.35,0.02,0.37,0.35,0.37,0,0.0,0.0,0,1,0,0,0,1
18,12,24,19,1700,18.9,2,4,6,2,0,0,3,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,0,0,0.11,0.21,0.32,0.11,0.32,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,1,0
19,4,57,33,3324,6.1499999999999995,0,21,21,0,0,0,0,0,6.62066985645933,6.433492822966507,7.615693779904307,14.042870813397126,0,0,0,0.0,0.5650000000000001,0.5650000000000001,0.0,0.5650000000000001,0.05809569377990429,0.0798373205741626,0.1379234449760765,0.05674641148325351,0.1366124401913875,6,160.0,24.0,1,0,0,0,1,0
19,3,57,33,3324,6.1499999999999995,0,21,21,0,0,0,0,0,6.62066985645933,6.433492822966507,7.615693779904307,14.042870813397126,0,0,0,0.0,0.5650000000000001,0.5650000000000001,0.0,0.5650000000000001,0.05809569377990429,0.0798373205741626,0.1379234449760765,0.05674641148325351,0.1366124401913875,6,160.0,24.0,1,0,0,0,1,0
20,1,8,6,532,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,9,57,49,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,0,0.0,0.0,1,0,0,0,1,0
21,1,98,98,8057,12.8,0,21,21,0,0,0,7,0,1.4000000000000001,1.4000000000000001,10.5,11.9,329,665,658,0.0,0.23,0.23,0.0,0.23,0.01,0.12,0.13,0.01,0.13,7,108.0,27.0,1,0,0,0,1,0
22,2,114,78,7656,14.199999999999998,0,0,0,0,0,0,12,6,3.0,3.0,9.0,12.0,222,684,804,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.14,0.03,0.14,6,109.0,24.0,1,0,0,0,1,0
23,1,80,60,5912,16.4,0,0,0,0,0,0,0,0,2.8,2.8,3.6,6.4,152,472,260,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,4,55.0,15.0,1,0,0,0,1,0
24,1,45,30,3141,11.6,0,12,12,0,0,0,0,0,1.5,1.5,8.100000000000001,9.600000000000001,96,339,264,0.0,0.34,0.34,0.0,0.34,0.04,0.23,0.27,0.04,0.27,3,65.0,12.0,1,0,0,0,1,0
25,2,108,104,8472,23.5,4,8,12,4,0,0,12,0,5.6,5.6,5.6,11.2,268,908,272,0.04,0.08,0.13,0.04,0.13,0.06,0.06,0.12,0.06,0.12,4,153.0,19.0,1,0,0,0,1,0
26,1,12,9,756,8.4,1,0,1,1,0,0,1,0,0.4,0.4,0.9,1.2,15,100,25,0.12,0.0,0.12,0.12,0.12,0.04,0.11,0.15,0.04,0.15,0,0.0,0.0,1,0,0,0,1,0
17,5,33,24,2203,12.200000000000001,6,4,8,6,0,0,2,0,9.762637362637362,8.961172161172161,5.380952380952381,14.334798534798535,0,0,0,0.245,0.20969396939693968,0.4887848784878488,0.245,0.4785598559855986,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,0,0.0,0.0,0,1,0,0,1,0
17,12,33,24,2203,12.200000000000001,6,4,8,6,0,0,2,0,9.762637362637362,8.961172161172161,5.380952380952381,14.334798534798535,0,0,0,0.245,0.20969396939693968,0.4887848784878488,0.245,0.4785598559855986,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,0,0.0,0.0,0,1,0,0,1,0
18,5,30,22,2144,23.8,3,8,11,3,0,0,3,0,3.6,3.6,4.6,8.2,64,149,136,0.13,0.34,0.46,0.13,0.46,0.15,0.19,0.35,0.15,0.35,1,10.0,1.0,0,1,0,0,1,0
19,4,34,33,2894,32.2,17,3,20,14,3,3,2,0,12.1,9.7,3.0,12.7,107,207,263,0.53,0.09,0.62,0.44,0.53,0.38,0.09,0.47,0.3,0.39,1,11.0,2.0,0,1,0,0,1,0
20,5,90,87,7362,27.3,36,18,54,33,3,3,9,0,27.299999999999997,25.200000000000003,23.4,48.300000000000004,357,417,750,0.44,0.22,0.66,0.4000000000000001,0.62,0.34,0.28,0.62,0.31,0.59,3,25.0,7.0,0,1,0,0,1,0
21,4,54,36,3040,16.9,8,6,14,8,0,0,4,0,11.0,11.0,2.6,13.6,94,148,266,0.24,0.18,0.41,0.24,0.41,0.33,0.08,0.4,0.33,0.4,2,38.0,11.0,0,1,0,0,1,0
22,3,58,44,3618,20.1,16,6,22,16,0,0,6,0,17.4,17.4,4.4,21.8,128,124,406,0.4,0.15,0.55,0.4,0.55,0.43,0.11,0.54,0.43,0.54,2,16.0,5.0,0,1,0,0,1,0
23,12,70,60,5138,28.5,14,2,16,12,2,2,10,0,23.2,21.6,7.6,29.2,118,178,436,0.25,0.04,0.28,0.21,0.25,0.41,0.13,0.54,0.38,0.51,2,10.0,2.0,0,1,0,0,1,0
24,1,13,8,726,8.1,2,1,3,1,1,1,4,0,2.5,1.7,0.8,2.5,12,35,53,0.25,0.12,0.37,0.12,0.25,0.31,0.09,0.41,0.21,0.31,0,0.0,0.0,0,1,0,0,1,0
17,9,20,12,1304,14.5,4,3,7,4,0,0,5,0,4.881318681318681,4.480586080586081,2.6904761904761907,7.167399267399268,0,0,0,0.28,0.21,0.48,0.28,0.48,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,0,0.0,0.0,0,1,0,0,0,1
18,1,37,34,2966,16.45,19,10,29,18,1,1,13,0,9.762637362637362,8.961172161172161,5.380952380952381,14.334798534798535,0,0,0,0.72,0.39,1.1099999999999999,0.6499999999999999,1.04,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,2,134.0,30.0,0,1,0,0,0,1
19,3,37,34,2966,16.45,19,10,29,18,1,1,13,0,9.762637362637362,8.961172161172161,5.380952380952381,14.334798534798535,0,0,0,0.72,0.39,1.1099999999999999,0.6499999999999999,1.04,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,2,134.0,30.0,0,1,0,0,0,1
20,1,58,38,3336,18.5,26,6,32,26,0,4,12,0,27.6,24.4,4.2,28.6,56,98,362,0.7,0.16,0.86,0.7,0.86,0.74,0.11,0.86,0.66,0.77,2,74.0,13.0,0,1,0,0,0,1
21,1,87,24,3108,11.5,21,9,30,18,3,3,3,0,33.599999999999994,31.5,6.8999999999999995,38.099999999999994,105,63,384,0.61,0.26,0.87,0.52,0.7799999999999999,0.9700000000000001,0.20000000000000004,1.17,0.91,1.11,3,23.0,6.0,0,1,0,0,0,1
22,2,68,42,4060,22.6,28,14,42,28,0,2,6,0,36.4,34.8,6.4,41.2,110,74,406,0.62,0.31,0.93,0.62,0.93,0.81,0.14,0.95,0.77,0.91,2,32.0,5.0,0,1,0,0,0,1
23,1,87,66,6189,22.899999999999995,27,12,39,27,0,0,6,0,26.099999999999998,26.099999999999998,8.100000000000001,34.2,162,123,606,0.38999999999999996,0.17,0.57,0.38999999999999996,0.57,0.38000000000000006,0.12,0.5,0.38000000000000006,0.5,3,57.0,14.0,0,1,0,0,0,1
24,1,28,21,1877,20.9,8,8,16,7,1,1,1,0,9.8,9.0,5.7,14.7,51,55,220,0.38,0.38,0.77,0.34,0.72,0.47,0.28,0.74,0.43,0.71,0,0.0,0.0,0,1,0,0,0,1
25,2,26,24,2064,22.9,11,6,17,10,1,1,6,0,14.0,13.2,3.9,17.1,44,64,194,0.48,0.26,0.74,0.44,0.7,0.61,0.17,0.78,0.58,0.75,1,99.0,17.0,0,1,0,0,0,1
26,1,16,10,858,4.8,2,0,2,2,0,0,4,0,4.8,4.8,0.4,5.2,24,26,68,0.21,0.0,0.21,0.21,0.21,0.5,0.04,0.54,0.5,0.54,2,50.0,10.0,0,1,0,0,0,1
18,4,36,35,3151,17.5,1,0,1,1,0,0,4,0,2.20688995215311,2.1444976076555022,2.5385645933014356,4.680956937799042,0,0,0,0.015,0.0,0.015,0.015,0.015,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
18,10,36,35,3151,17.5,1,0,1,1,0,0,4,0,2.20688995215311,2.1444976076555022,2.5385645933014356,4.680956937799042,0,0,0,0.015,0.0,0.015,0.015,0.015,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
19,9,27,27,2430,27.0,1,0,1,1,0,0,4,0,1.1,1.1,0.5,1.6,28,125,29,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,1,7.0,1.0,1,0,0,0,0,1
